                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.73765,                0.38907,                0.86143,                0.90167,                0.97203,                0.97946,                0.74413,                 1.0064,                0.49052,                0.96866,              0.0059212,              0.0059212,              0.0059212
                    105,                0.74169,                0.39453,                0.86764,                 0.9356,                0.96124,                0.97869,                0.75002,                 1.0074,                0.50785,                0.96711,              0.0058816,              0.0058816,              0.0058816
                    106,                0.72161,                0.38525,                 0.8632,                  0.963,                0.93715,                0.98217,                0.75435,                0.97503,                0.46135,                 0.9415,               0.005842,               0.005842,               0.005842
                    107,                 0.7248,                0.38031,                0.86051,                 0.9703,                0.90844,                 0.9796,                0.75256,                 0.9841,                0.47662,                0.96127,              0.0058024,              0.0058024,              0.0058024
                    108,                0.71515,                0.38119,                0.86527,                0.92093,                 0.9565,                0.97142,                0.74763,                0.95818,                0.45645,                0.95586,              0.0057628,              0.0057628,              0.0057628
                    109,                0.71175,                0.37903,                 0.8557,                0.94322,                0.93425,                0.98325,                0.75196,                0.98482,                0.46112,                0.95785,              0.0057232,              0.0057232,              0.0057232
                    110,                0.71814,                0.38218,                0.85602,                0.94777,                0.95404,                0.98116,                0.77133,                0.93019,                0.45127,                 0.9375,              0.0056836,              0.0056836,              0.0056836
                    111,                0.71243,                0.37695,                0.86465,                0.97714,                0.95909,                0.98217,                 0.7631,                0.94254,                0.43649,                0.94529,               0.005644,               0.005644,               0.005644
                    112,                0.71398,                0.37321,                0.87014,                0.90702,                0.96286,                0.97812,                0.75654,                0.96494,                0.44339,                 0.9515,              0.0056044,              0.0056044,              0.0056044
                    113,                0.72863,                0.38009,                 0.8653,                0.89495,                0.97538,                0.97908,                 0.7724,                0.94934,                0.46314,                0.94452,              0.0055648,              0.0055648,              0.0055648
                    114,                0.69339,                   0.37,                0.85493,                0.91933,                0.94679,                0.97245,                0.75984,                0.95255,                0.47903,                0.95014,              0.0055252,              0.0055252,              0.0055252
                    115,                 0.7137,                0.37513,                0.86064,                0.94336,                0.92793,                0.98242,                0.75088,                0.97722,                0.47548,                0.95436,              0.0054856,              0.0054856,              0.0054856
